IP/OP,Category,Bundle,Bundle Count,Total Bundle Cost,Average Bundle Cost,Benchmark Average,Best-in-Class Average,Estimated Opportunity Size,Recommended Target,User Defined Target,Recommended,User Defined
Inpatient,Pulmonary,Simple pneumonia and respiratory infections,155,"$2,259,435 ","$14,577 ","$14,133 ","$13,426 ",Low,"$14,785","$14,785",High,High
Inpatient,Gastrointestinal,Bariatric Surgery,8,"$153,198 ","$19,150 ","$17,859 ","$16,966 ",Low,"$19,060","$19,060",High,High
Inpatient,Gastrointestinal,"Disorders of the liver excluding malignancy, cirrhosis, alcoholic hepatitis",18,"$180,554 ","$10,031 ","$9,972 ","$9,473 ",Low,"$10,301","$10,301",High,High
Inpatient,Gastrointestinal,Gastrointestinal hemorrhage,96,"$1,312,214 ","$13,669 ","$12,741 ","$12,104 ",Low,"$13,601","$13,601",High,High
Inpatient,Gastrointestinal,Gastrointestinal obstruction,45,"$543,533 ","$12,079 ","$11,064 ","$10,511 ",Low,"$11,918","$11,918",High,High
Inpatient,Gastrointestinal,Inflammatory Bowel Disease,6,"$49,242 ","$8,207 ","$7,440 ","$7,068 ",Low,"$8,058","$8,058",High,High
Inpatient,Gastrointestinal,Major bowel procedure,53,"$1,549,890 ","$29,243 ","$27,960 ","$26,562 ",Low,"$29,460","$29,460",High,High
Outpatient,Outpatient,Back & neck except spinal fusion,3,"$24,621 ","$8,207 ","$8,749 ","$8,312 ",Low,"$8,453","$8,453",High,High
Outpatient,Outpatient,Cardiac Defibrillator,2,"$62,530 ","$31,265 ","$28,138 ","$26,731 ",Low,"$30,593","$30,593",High,High
Outpatient,Outpatient,Major joint replacement of the lower extremity (MJRLE),48,"$437,707 ","$9,119 ","$8,621 ","$8,190 ",Low,"$9,136","$9,136",High,High
Outpatient,Outpatient,Percutaneous Coronary Intervention,14,"$132,119 ","$9,437 ","$8,586 ","$8,156 ",Low,"$9,282","$9,282",High,High
